feat_04,feat_01,feat_09,feat_05,feat_03,feat_10,feat_02,feat_08,feat_07,feat_06
0.2463,-1.175,-0.3731,41.0513,8.066,Y,1.4363,29.5294,B,49.8547
0.6897,0.5348,-0.7658,44.9734,29.5178,Z,0.5933,18.7438,A,60.4108
0.018,0.384,0.1921,49.4772,11.3296,Y,-1.1756,23.6203,A,22.4435
0.8648,0.7316,0.1751,44.3415,27.8603,X,-0.0605,7.3008,A,50.4102
0.5678,2.5688,0.0358,48.8152,30.3653,X,0.9498,20.6952,B,39.181
0.2356,0.7278,-0.5566,43.8922,7.8797,Y,0.4951,18.2813,A,15.7472
0.2083,0.4257,-3.6611,70.0396,32.2693,Z,0.3823,23.4121,B,40.6813
0.6547,1.5619,0.0928,63.2906,34.6256,Z,-0.8578,20.4561,B,41.4021
0.6293,-1.3452,-1.8962,54.4995,14.0445,Z,-0.6372,14.2888,A,25.8955
0.3181,-1.1427,0.2442,49.4638,29.5616,Z,0.0952,24.7349,A,58.2097
0.334,-0.3752,1.1308,71.9076,31.4804,X,0.9203,23.4731,A,66.1239
0.4634,-0.6549,0.2739,53.2295,10.242,X,-0.8289,22.9838,A,18.1868
0.9105,0.6939,-0.3894,49.1315,10.2042,Z,-1.1214,25.0446,A,18.2285
0.5383,-0.3174,-0.1799,53.0313,33.0955,X,1.144,25.5048,A,69.1528
0.8401,1.7399,-0.1331,53.0594,27.3616,X,-0.9303,19.8909,B,41.4963
0.6409,1.5204,-0.5492,64.1032,12.1106,Z,1.0772,13.2117,A,24.4596
0.5621,0.7701,-0.5838,49.8104,29.902,X,0.2431,13.0752,B,39.5391
0.4897,-0.386,-0.9239,70.9932,32.8171,X,0.881,26.7488,A,68.8036
0.6806,0.617,1.1882,41.1798,30.3745,Z,1.7444,23.5522,A,61.4141
0.4915,0.8111,-0.0156,56.9405,8.6547,X,0.6887,20.5101,A,15.4952
0.726,-1.0666,0.9563,39.9817,10.5543,Z,0.776,17.8268,A,20.9722
0.1821,0.3488,-0.2501,68.171,31.4719,X,-0.9178,20.1578,A,65.4721
0.3223,0.7061,0.0722,46.6943,10.0715,X,-0.6952,20.124,A,22.0781
0.8732,0.2165,-0.1704,49.4181,10.9761,Y,0.6439,18.3162,A,21.954
0.3952,1.5711,0.4628,59.2424,28.9566,Y,1.5343,16.5049,B,33.9515
0.8431,1.2142,0.8266,62.5534,25.7322,Y,1.3921,30.8216,B,41.7641
0.938,-0.8256,0.2397,38.8812,31.8,X,2.3167,21.1428,B,52.4318
0.5785,0.1245,-0.6738,46.5384,11.3983,Z,0.3109,16.971,A,22.8969
0.1019,-0.8355,-0.78,36.0508,30.2964,X,0.2028,13.4897,A,60.3613
0.7569,0.5796,1.6592,51.3731,10.1368,Z,1.0062,16.3715,B,28.6985
0.6659,-0.8671,-0.28,48.9863,32.0726,Y,0.0189,23.5986,A,62.9558
0.2908,0.9233,-0.2911,46.5107,9.0858,X,-0.0625,23.7919,A,22.1433
0.863,0.3881,1.465,43.1554,28.5869,Y,-1.0474,18.9082,B,40.2286
0.4827,0.9708,1.0879,46.1409,9.6229,Z,0.9912,20.2586,A,19.2606
0.057,-0.1451,0.5338,42.536,12.3782,Y,-1.072,18.4747,A,22.4306
0.068,-1.4563,-0.3994,55.2896,7.2258,Z,0.5123,14.4608,B,47.0666
0.2283,1.7658,2.3532,65.1595,32.3837,X,-1.4192,26.5084,B,61.6182
0.6098,-0.1726,0.393,30.6928,28.7215,Z,1.0963,21.8632,A,56.4622
0.8152,1.3767,0.547,48.8403,7.7985,X,-1.0288,32.3818,B,50.1096
0.099,0.4302,-0.1711,45.8183,32.5201,Z,0.8435,16.2191,B,44.3367
0.0223,0.6739,-1.4143,54.9237,29.8062,X,-1.5893,19.3123,A,61.1061
0.6225,1.8297,-1.3348,40.4823,27.3995,Y,-0.4398,24.4149,B,50.6934
0.4095,0.3402,0.407,48.5356,9.2825,Z,1.1783,18.7745,B,30.1234
0.4416,1.4002,0.3918,39.6041,11.8621,X,-0.8053,13.0615,B,38.3147
0.8207,-1.4843,-0.24,56.967,12.3841,Z,0.0672,15.2557,A,26.0874
0.919,0.8711,-1.1717,50.9927,9.1458,Z,-0.4784,20.5038,A,18.0096
0.9672,-0.2419,-1.4417,48.3853,10.8126,Y,-2.3094,21.7168,A,20.2508
0.7792,-0.1341,-0.3279,53.7019,31.4282,Y,0.3081,19.527,B,43.0947
0.0033,0.0087,-1.4561,47.5352,8.7107,Z,0.4323,25.0174,B,33.9081
0.1505,0.3465,0.8989,34.4618,10.7101,Y,-1.1078,24.9638,B,29.685
0.5873,1.6572,1.1527,55.9573,29.9362,Z,0.5737,21.6139,A,59.9217
0.9553,-1.8537,2.829,52.8827,28.928,Z,-0.7957,20.1345,B,34.3184
0.0814,0.044,0.8783,48.4592,9.0157,Y,-1.0034,18.7355,B,29.5377
0.5149,-0.7165,-0.5928,59.8492,30.1341,Z,0.0069,22.7551,A,56.8268
0.3965,1.1658,-0.8717,62.185,10.0597,Y,-0.6814,24.5981,A,17.4425
0.4068,-0.4231,-3.4517,39.0772,28.869,Z,2.2924,20.303,B,25.1794
0.2686,0.4568,-0.5949,42.1892,9.1481,Y,-1.5549,22.25,A,19.939
0.2708,-0.3975,-0.177,65.4729,32.2267,Y,0.7384,18.3784,B,26.9189
0.2384,0.6681,0.9678,64.1885,30.4277,Y,0.9889,12.9423,A,59.8698
0.1032,1.0148,0.6116,42.6161,31.7702,Y,-1.9793,14.9952,A,64.3113
0.5541,-0.3974,0.5883,38.1929,12.4036,Y,-1.7325,23.8288,A,27.3125
0.4459,0.0491,0.2136,43.6243,31.1777,Z,0.5624,22.235,A,63.6912
0.7129,-1.4204,0.6609,45.0188,34.5418,X,-0.4815,27.9511,A,69.1259
0.6399,0.3054,1.4476,34.1593,8.3494,Y,0.3836,20.2805,A,21.0747
0.9528,0.8563,-1.0649,50.3117,11.6168,Y,1.1394,24.3239,B,38.2658
0.3396,-0.5554,-0.4573,37.1982,9.3637,X,-0.3721,26.6151,B,37.384
0.8825,1.1204,-1.3885,37.8961,33.7116,Z,-1.064,24.9723,B,53.6734
0.3848,-2.0733,1.6187,59.1611,33.4009,Z,-2.7294,16.9573,B,37.2928
0.6607,-1.8513,1.2969,43.1681,6.0916,Y,0.2046,19.0772,B,30.7504
0.805,-1.3882,0.7523,49.2853,28.0623,Z,-0.9286,20.6489,B,29.4645
0.3968,-0.4848,-1.1986,56.291,11.3286,X,0.3134,15.0707,A,24.0302
0.4462,0.0186,0.1729,58.1322,31.5797,Z,0.2316,22.3714,B,42.4419
0.6313,-0.0789,-0.2346,46.6298,31.4731,Y,-1.3845,25.1199,B,29.0264
0.1108,-0.0671,0.0808,50.4412,29.8583,X,1.7239,17.5957,B,32.1168
0.5318,0.7236,-0.1881,41.7459,10.9102,Z,1.0833,29.8628,B,44.2777
0.0949,-0.4721,0.52,67.4738,11.306,X,0.8483,18.5464,B,44.6181
0.2249,-1.2636,-0.3948,56.4995,29.8443,Z,-1.1845,18.9852,A,58.9596
0.6231,-1.2438,0.8546,38.9676,12.0546,Z,-0.4074,18.8086,B,44.9777
0.9722,2.1127,0.2414,50.0406,5.481,Z,-0.5469,16.4586,A,12.4674
0.9994,-2.3521,-0.2931,57.1355,31.2676,Z,-0.4148,22.0893,B,25.7353
0.2607,-0.1763,-0.1119,54.7941,27.9319,Z,-1.1241,20.1001,B,37.5035
0.1463,1.4579,-0.4406,68.2917,31.9174,X,0.4346,28.3069,B,43.321
0.5186,0.4834,0.8139,63.7232,29.5426,Z,0.2292,23.0365,B,35.4154
0.4414,-0.8296,-0.2715,44.6069,28.2224,Y,0.3654,22.6884,A,57.2835
0.3794,0.0022,0.2949,49.1082,30.7478,Y,-0.5059,18.8923,A,59.7356
0.7685,0.8639,-0.3924,37.1846,28.1773,X,1.291,12.9288,B,46.0167
0.7097,1.2081,-1.4851,52.4945,28.1745,Y,0.1877,19.5525,A,56.499
0.5618,-0.8993,0.9061,51.5102,26.8654,Y,-2.7378,15.7485,A,53.3916
0.6215,0.7605,-1.0581,77.0348,9.9466,X,-0.6401,24.7592,A,15.8501
0.5819,0.2525,0.6792,50.9758,10.9936,Z,-0.057,19.8478,B,30.9829
0.6769,1.1044,0.4202,29.0675,32.0461,Z,0.9653,28.3287,A,63.7376
0.9278,1.3904,-1.656,43.2791,9.7165,Y,-0.3007,23.6766,B,49.8736
0.9467,-0.3433,-0.9447,51.1235,32.0957,X,-0.2501,24.1777,B,47.8641
0.9795,-1.4496,-0.5141,37.4398,30.0359,Z,-0.6628,21.1533,A,59.4897
